"","year","month","day","lon","lat","species_group","depth","prov_nr","provID","sub_area","SubDiv","taxa","sample_id","depth_scaled","year_f","biomass","abundance","biomass_g_m2","biomass_g_km2","biomass_kg_km2"
"36",1985,5,23,16.6849994659424,57.4099998474121,"Amphipoda",14,4,3641,4,27,"Monoporeia affinis","3641_1985",-0.5849407155949,"1985",6.70000017,1010,6.70000017,6700000.17,6700.00017
"37",1980,4,21,16.6849994659424,57.4099998474121,"Amphipoda",14,2,3642,4,27,"Monoporeia affinis","3642_1980",-0.5849407155949,"1980",0.05,790,0.05,50000,50
"38",1985,5,23,16.6849994659424,57.4099998474121,"Amphipoda",14,2,3643,4,27,"Gammarus","3643_1985",-0.5849407155949,"1985",1.51000005,130,1.51000005,1510000.05,1510.00005
"39",1981,5,11,16.6849994659424,57.4099998474121,"Amphipoda",14,1,3644,4,27,"Monoporeia affinis","3644_1981",-0.5849407155949,"1981",0.05,560,0.05,50000,50
"40",1987,4,28,16.6849994659424,57.4099998474121,"Amphipoda",14,2,3645,4,27,"Monoporeia affinis","3645_1987",-0.5849407155949,"1987",11.23000026,2060,11.23000026,11230000.26,11230.00026
"41",2001,5,30,16.6849994659424,57.4099998474121,"Amphipoda",14,3,3646,4,27,"Corophium volutator","3646_2001",-0.5849407155949,"2001",0.02,10,0.02,20000,20
"42",1980,4,21,16.6849994659424,57.4099998474121,"Amphipoda",14,4,3647,4,27,"Monoporeia affinis","3647_1980",-0.5849407155949,"1980",0.05,520,0.05,50000,50
"43",1987,4,28,16.6849994659424,57.4099998474121,"Amphipoda",14,3,3655,4,27,"Monoporeia affinis","3655_1987",-0.5849407155949,"1987",7.7700001,1570,7.7700001,7770000.1,7770.0001
"44",2001,5,30,16.6849994659424,57.4099998474121,"Amphipoda",14,4,3656,4,27,"Corophium volutator","3656_2001",-0.5849407155949,"2001",0.02,10,0.02,20000,20
"45",1998,5,8,16.6849994659424,57.4099998474121,"Amphipoda",14,4,3657,4,27,"Monoporeia affinis","3657_1998",-0.5849407155949,"1998",0.06,10,0.06,60000,60
"46",2000,5,15,16.6849994659424,57.4099998474121,"Amphipoda",14,4,3662,4,27,"Corophium volutator","3662_2000",-0.5849407155949,"2000",0.14,20,0.14,140000,140
"47",2000,5,15,16.6849994659424,57.4099998474121,"Amphipoda",14,3,3663,4,27,"Corophium volutator","3663_2000",-0.5849407155949,"2000",0.01,10,0.01,10000,10
"48",2000,5,15,16.6849994659424,57.4099998474121,"Amphipoda",14,1,3665,4,27,"Monoporeia affinis","3665_2000",-0.5849407155949,"2000",0.07,10,0.07,70000,70
"49",1977,4,28,16.6849994659424,57.4099998474121,"Amphipoda",14,4,3667,4,27,"Corophium volutator","3667_1977",-0.5849407155949,"1977",0.1,50,0.1,1e+05,100
"50",1980,4,21,16.6849994659424,57.4099998474121,"Amphipoda",14,3,3669,4,27,"Monoporeia affinis","3669_1980",-0.5849407155949,"1980",0.05,460,0.05,50000,50
"51",1999,5,17,16.6849994659424,57.4099998474121,"Amphipoda",14,5,3670,4,27,"Monoporeia affinis","3670_1999",-0.5849407155949,"1999",0.09,10,0.09,90000,90
"52",1980,4,21,16.6849994659424,57.4099998474121,"Amphipoda",14,1,3671,4,27,"Monoporeia affinis","3671_1980",-0.5849407155949,"1980",0.05,1000,0.05,50000,50
"53",1979,4,19,16.6849994659424,57.4099998474121,"Amphipoda",14,5,3672,4,27,"Monoporeia affinis","3672_1979",-0.5849407155949,"1979",0.05,950,0.05,50000,50
"54",1979,4,19,16.6849994659424,57.4099998474121,"Amphipoda",14,4,3673,4,27,"Monoporeia affinis","3673_1979",-0.5849407155949,"1979",0.05,740,0.05,50000,50
"55",1979,4,19,16.6849994659424,57.4099998474121,"Amphipoda",14,3,3674,4,27,"Gammarus","3674_1979",-0.5849407155949,"1979",0.1,1020,0.1,1e+05,100
"56",1979,4,19,16.6849994659424,57.4099998474121,"Amphipoda",14,2,3675,4,27,"Gammarus","3675_1979",-0.5849407155949,"1979",0.1,890,0.1,1e+05,100
"57",1977,4,28,16.6849994659424,57.4099998474121,"Amphipoda",14,5,3677,4,27,"Gammarus","3677_1977",-0.5849407155949,"1977",0.05,10,0.05,50000,50
"58",1980,4,21,16.6849994659424,57.4099998474121,"Amphipoda",14,5,3678,4,27,"Monoporeia affinis","3678_1980",-0.5849407155949,"1980",0.05,570,0.05,50000,50
"59",1977,4,28,16.6849994659424,57.4099998474121,"Amphipoda",14,3,3679,4,27,"Gammarus","3679_1977",-0.5849407155949,"1977",0.05,10,0.05,50000,50
"60",1977,4,28,16.6849994659424,57.4099998474121,"Amphipoda",14,2,3680,4,27,"Gammarus","3680_1977",-0.5849407155949,"1977",0.05,10,0.05,50000,50
"61",1977,4,28,16.6849994659424,57.4099998474121,"Amphipoda",14,1,3681,4,27,"Gammarus","3681_1977",-0.5849407155949,"1977",0.05,190,0.05,50000,50
"62",1976,5,6,16.6849994659424,57.4099998474121,"Amphipoda",14,5,3682,4,27,"Monoporeia affinis","3682_1976",-0.5849407155949,"1976",0.05,40,0.05,50000,50
"63",1976,5,6,16.6849994659424,57.4099998474121,"Amphipoda",14,4,3683,4,27,"Monoporeia affinis","3683_1976",-0.5849407155949,"1976",0.05,180,0.05,50000,50
"64",1976,5,6,16.6849994659424,57.4099998474121,"Amphipoda",14,3,3684,4,27,"Monoporeia affinis","3684_1976",-0.5849407155949,"1976",0.05,80,0.05,50000,50
"65",1976,5,6,16.6849994659424,57.4099998474121,"Amphipoda",14,2,3685,4,27,"Gammarus","3685_1976",-0.5849407155949,"1976",0.1,110,0.1,1e+05,100
"66",1989,5,2,16.6849994659424,57.4099998474121,"Amphipoda",14,2,3686,4,27,"Monoporeia affinis","3686_1989",-0.5849407155949,"1989",5.92000008,1430,5.92000008,5920000.08,5920.00008
"67",1979,4,19,16.6849994659424,57.4099998474121,"Amphipoda",14,1,3687,4,27,"Monoporeia affinis","3687_1979",-0.5849407155949,"1979",0.05,70,0.05,50000,50
"68",2003,5,26,16.6849994659424,57.4099998474121,"Amphipoda",14,4,3695,4,27,"Gammarus","3695_2003",-0.5849407155949,"2003",0.05,20,0.05,50000,50
"69",2004,5,24,16.6849994659424,57.4099998474121,"Amphipoda",14,1,3697,4,27,"Monoporeia affinis","3697_2004",-0.5849407155949,"2004",0.04,10,0.04,40000,40
"70",1996,4,29,16.6849994659424,57.4099998474121,"Amphipoda",14,5,3700,4,27,"Gammarus","3700_1996",-0.5849407155949,"1996",0.35,30,0.35,350000,350
"71",2005,5,24,16.6849994659424,57.4099998474121,"Amphipoda",14,4,3705,4,27,"Corophium volutator","3705_2005",-0.5849407155949,"2005",0.22000001,50,0.22000001,220000.01,220.00001
"72",1987,4,28,16.6849994659424,57.4099998474121,"Amphipoda",14,1,3706,4,27,"Monoporeia affinis","3706_1987",-0.5849407155949,"1987",11.97999954,1650,11.97999954,11979999.54,11979.99954
"73",1989,5,2,16.6849994659424,57.4099998474121,"Amphipoda",14,3,3707,4,27,"Gammarus","3707_1989",-0.5849407155949,"1989",1.35000004,200,1.35000004,1350000.04,1350.00004
"74",2006,5,22,16.6849994659424,57.4099998474121,"Amphipoda",14,5,3708,4,27,"Corophium volutator","3708_2006",-0.5849407155949,"2006",0.41999999,160,0.41999999,419999.99,419.99999
"75",2006,5,22,16.6849994659424,57.4099998474121,"Amphipoda",14,4,3709,4,27,"Corophium volutator","3709_2006",-0.5849407155949,"2006",0.44000002,90,0.44000002,440000.02,440.00002
"76",2006,5,22,16.6849994659424,57.4099998474121,"Amphipoda",14,3,3710,4,27,"Corophium volutator","3710_2006",-0.5849407155949,"2006",0.25000001,70,0.25000001,250000.01,250.00001
"77",2006,5,22,16.6849994659424,57.4099998474121,"Amphipoda",14,2,3711,4,27,"Corophium volutator","3711_2006",-0.5849407155949,"2006",0.48,100,0.48,480000,480
"78",2005,5,24,16.6849994659424,57.4099998474121,"Amphipoda",14,5,3713,4,27,"Corophium volutator","3713_2005",-0.5849407155949,"2005",0.28,60,0.28,280000,280
"79",2003,5,26,16.6849994659424,57.4099998474121,"Amphipoda",14,5,3714,4,27,"Monoporeia affinis","3714_2003",-0.5849407155949,"2003",0.06,10,0.06,60000,60
"80",2005,5,24,16.6849994659424,57.4099998474121,"Amphipoda",14,3,3715,4,27,"Corophium volutator","3715_2005",-0.5849407155949,"2005",0.09,30,0.09,90000,90
"81",2005,5,24,16.6849994659424,57.4099998474121,"Amphipoda",14,2,3716,4,27,"Corophium volutator","3716_2005",-0.5849407155949,"2005",0.26,50,0.26,260000,260
"82",2005,5,24,16.6849994659424,57.4099998474121,"Amphipoda",14,1,3717,4,27,"Corophium volutator","3717_2005",-0.5849407155949,"2005",0.07,20,0.07,70000,70
"83",2004,5,24,16.6849994659424,57.4099998474121,"Amphipoda",14,4,3719,4,27,"Corophium volutator","3719_2004",-0.5849407155949,"2004",0.02,10,0.02,20000,20
"84",2004,5,24,16.6849994659424,57.4099998474121,"Amphipoda",14,3,3720,4,27,"Monoporeia affinis","3720_2004",-0.5849407155949,"2004",0.09,10,0.09,90000,90
"85",2006,5,22,16.6849994659424,57.4099998474121,"Amphipoda",14,1,3721,4,27,"Corophium volutator","3721_2006",-0.5849407155949,"2006",0.09,50,0.09,90000,90
"86",1990,4,19,16.6849994659424,57.4099998474121,"Amphipoda",14,4,3722,4,27,"Monoporeia affinis","3722_1990",-0.5849407155949,"1990",0.41999999,90,0.41999999,419999.99,419.99999
"87",1992,4,22,16.6849994659424,57.4099998474121,"Amphipoda",14,2,3723,4,27,"Gammarus","3723_1992",-0.5849407155949,"1992",0.64000003,30,0.64000003,640000.03,640.00003
"88",1989,5,2,16.6849994659424,57.4099998474121,"Amphipoda",14,5,3727,4,27,"Monoporeia affinis","3727_1989",-0.5849407155949,"1989",3.98000002,990,3.98000002,3980000.02,3980.00002
"89",1991,4,23,16.6849994659424,57.4099998474121,"Amphipoda",14,2,3728,4,27,"Gammarus","3728_1991",-0.5849407155949,"1991",0.01,10,0.01,10000,10
"90",1992,4,22,16.6849994659424,57.4099998474121,"Amphipoda",14,3,3729,4,27,"Gammarus","3729_1992",-0.5849407155949,"1992",0.07,20,0.07,70000,70
"91",1990,4,19,16.6849994659424,57.4099998474121,"Amphipoda",14,5,3730,4,27,"Monoporeia affinis","3730_1990",-0.5849407155949,"1990",0.52000001,130,0.52000001,520000.01,520.00001
"92",1990,4,19,16.6849994659424,57.4099998474121,"Amphipoda",14,3,3732,4,27,"Monoporeia affinis","3732_1990",-0.5849407155949,"1990",0.34000002,100,0.34000002,340000.02,340.00002
"93",1990,4,19,16.6849994659424,57.4099998474121,"Amphipoda",14,2,3733,4,27,"Monoporeia affinis","3733_1990",-0.5849407155949,"1990",0.55,170,0.55,550000,550
"94",1990,4,19,16.6849994659424,57.4099998474121,"Amphipoda",14,1,3734,4,27,"Monoporeia affinis","3734_1990",-0.5849407155949,"1990",0.15,40,0.15,150000,150
"95",1989,5,2,16.6849994659424,57.4099998474121,"Amphipoda",14,4,3737,4,27,"Monoporeia affinis","3737_1989",-0.5849407155949,"1989",3.12000006,660,3.12000006,3120000.06,3120.00006
"96",1995,4,25,16.6849994659424,57.4099998474121,"Amphipoda",14,4,3740,4,27,"Gammarus","3740_1995",-0.5849407155949,"1995",0.06,10,0.06,60000,60
"97",1995,4,25,16.6849994659424,57.4099998474121,"Amphipoda",14,3,3741,4,27,"Monoporeia affinis","3741_1995",-0.5849407155949,"1995",0.03,10,0.03,30000,30
"98",1993,4,27,16.6849994659424,57.4099998474121,"Amphipoda",14,1,3753,4,27,"Gammarus","3753_1993",-0.5849407155949,"1993",0.02,10,0.02,20000,20
"99",2002,6,2,16.7086658477783,57.4278335571289,"Amphipoda",16,2,3755,4,27,"Gammarus","3755_2002",-0.472719880617948,"2002",0.50999998,100,0.50999998,509999.98,509.99998
"100",2004,5,24,16.7086658477783,57.4278335571289,"Amphipoda",16,4,3756,4,27,"Corophium volutator","3756_2004",-0.472719880617948,"2004",0.14,50,0.14,140000,140
"101",2004,5,24,16.7086658477783,57.4278335571289,"Amphipoda",16,3,3757,4,27,"Corophium volutator","3757_2004",-0.472719880617948,"2004",0.18999999,70,0.18999999,189999.99,189.99999
"102",2004,5,24,16.7086658477783,57.4278335571289,"Amphipoda",16,2,3758,4,27,"Corophium volutator","3758_2004",-0.472719880617948,"2004",0.37999999,110,0.37999999,379999.99,379.99999
"103",2004,5,24,16.7086658477783,57.4278335571289,"Amphipoda",16,1,3759,4,27,"Corophium volutator","3759_2004",-0.472719880617948,"2004",0.22,80,0.22,220000,220
"104",2003,5,26,16.7086658477783,57.4278335571289,"Amphipoda",16,5,3760,4,27,"Gammarus","3760_2003",-0.472719880617948,"2003",1.11000002,60,1.11000002,1110000.02,1110.00002
"105",2003,5,26,16.7086658477783,57.4278335571289,"Amphipoda",16,4,3761,4,27,"Monoporeia affinis","3761_2003",-0.472719880617948,"2003",0.04,10,0.04,40000,40
"106",2003,5,26,16.7086658477783,57.4278335571289,"Amphipoda",16,3,3762,4,27,"Gammarus","3762_2003",-0.472719880617948,"2003",0.17000001,40,0.17000001,170000.01,170.00001
"107",2003,5,26,16.7086658477783,57.4278335571289,"Amphipoda",16,2,3763,4,27,"Gammarus","3763_2003",-0.472719880617948,"2003",0.93999997,50,0.93999997,939999.97,939.99997
"108",2003,5,26,16.7086658477783,57.4278335571289,"Amphipoda",16,1,3764,4,27,"Monoporeia affinis","3764_2003",-0.472719880617948,"2003",0.09,20,0.09,90000,90
"109",2002,6,2,16.7086658477783,57.4278335571289,"Amphipoda",16,4,3765,4,27,"Gammarus","3765_2002",-0.472719880617948,"2002",0.85000001,130,0.85000001,850000.01,850.00001
"110",2004,5,24,16.7086658477783,57.4278335571289,"Amphipoda",16,5,3768,4,27,"Corophium volutator","3768_2004",-0.472719880617948,"2004",0.19,70,0.19,190000,190
"111",2002,6,2,16.7086658477783,57.4278335571289,"Amphipoda",16,1,3769,4,27,"Corophium volutator","3769_2002",-0.472719880617948,"2002",0.33999999,90,0.33999999,339999.99,339.99999
"112",2001,6,6,16.7086658477783,57.4278335571289,"Amphipoda",16,3,3772,4,27,"Gammarus","3772_2001",-0.472719880617948,"2001",0.01,10,0.01,10000,10
"113",2002,6,2,16.7086658477783,57.4278335571289,"Amphipoda",16,3,3773,4,27,"Gammarus","3773_2002",-0.472719880617948,"2002",0.57000001,50,0.57000001,570000.01,570.00001
"114",2006,5,22,16.7086658477783,57.4278335571289,"Amphipoda",16,4,3774,4,27,"Corophium volutator","3774_2006",-0.472719880617948,"2006",0.47000002,160,0.47000002,470000.02,470.00002
"115",1993,4,27,16.7086658477783,57.4278335571289,"Amphipoda",16,4,3775,4,27,"Corophium volutator","3775_1993",-0.472719880617948,"1993",0.05,10,0.05,50000,50
"116",2000,5,16,16.7086658477783,57.4278335571289,"Amphipoda",16,5,3776,4,27,"Corophium volutator","3776_2000",-0.472719880617948,"2000",0.08,30,0.08,80000,80
"117",1977,4,28,16.7086658477783,57.4278335571289,"Amphipoda",16,1,3777,4,27,"Monoporeia affinis","3777_1977",-0.472719880617948,"1977",0.05,10,0.05,50000,50
"118",1977,4,28,16.7086658477783,57.4278335571289,"Amphipoda",16,2,3778,4,27,"Monoporeia affinis","3778_1977",-0.472719880617948,"1977",0.05,10,0.05,50000,50
"119",1976,5,6,16.7086658477783,57.4278335571289,"Amphipoda",16,5,3779,4,27,"Monoporeia affinis","3779_1976",-0.472719880617948,"1976",0.05,40,0.05,50000,50
"120",1976,5,6,16.7086658477783,57.4278335571289,"Amphipoda",16,4,3780,4,27,"Monoporeia affinis","3780_1976",-0.472719880617948,"1976",0.05,30,0.05,50000,50
"121",1976,5,6,16.7086658477783,57.4278335571289,"Amphipoda",16,2,3781,4,27,"Monoporeia affinis","3781_1976",-0.472719880617948,"1976",0.05,70,0.05,50000,50
"122",2006,5,22,16.7086658477783,57.4278335571289,"Amphipoda",16,5,3783,4,27,"Corophium volutator","3783_2006",-0.472719880617948,"2006",0.91,360,0.91,910000,910
"123",2005,5,24,16.7086658477783,57.4278335571289,"Amphipoda",16,1,3784,4,27,"Corophium volutator","3784_2005",-0.472719880617948,"2005",1.10000002,150,1.10000002,1100000.02,1100.00002
"124",2006,5,22,16.7086658477783,57.4278335571289,"Amphipoda",16,3,3785,4,27,"Corophium volutator","3785_2006",-0.472719880617948,"2006",1.58000002,260,1.58000002,1580000.02,1580.00002
"125",2006,5,22,16.7086658477783,57.4278335571289,"Amphipoda",16,2,3786,4,27,"Corophium volutator","3786_2006",-0.472719880617948,"2006",1.03000001,120,1.03000001,1030000.01,1030.00001
"126",2006,5,22,16.7086658477783,57.4278335571289,"Amphipoda",16,1,3788,4,27,"Corophium volutator","3788_2006",-0.472719880617948,"2006",0.43,170,0.43,430000,430
"127",2005,5,24,16.7086658477783,57.4278335571289,"Amphipoda",16,5,3789,4,27,"Corophium volutator","3789_2005",-0.472719880617948,"2005",2.19000002,440,2.19000002,2190000.02,2190.00002
"128",2005,5,24,16.7086658477783,57.4278335571289,"Amphipoda",16,4,3790,4,27,"Corophium volutator","3790_2005",-0.472719880617948,"2005",1.70999997,190,1.70999997,1709999.97,1709.99997
"129",2005,5,24,16.7086658477783,57.4278335571289,"Amphipoda",16,3,3791,4,27,"Corophium volutator","3791_2005",-0.472719880617948,"2005",1.13000001,300,1.13000001,1130000.01,1130.00001
"130",2005,5,24,16.7086658477783,57.4278335571289,"Amphipoda",16,2,3792,4,27,"Corophium volutator","3792_2005",-0.472719880617948,"2005",0.55999999,160,0.55999999,559999.99,559.99999
"131",1976,5,6,16.7086658477783,57.4278335571289,"Amphipoda",16,1,3793,4,27,"Monoporeia affinis","3793_1976",-0.472719880617948,"1976",0.05,30,0.05,50000,50
"132",1994,4,25,16.7086658477783,57.4278335571289,"Amphipoda",16,3,3794,4,27,"Corophium volutator","3794_1994",-0.472719880617948,"1994",0.30000001,50,0.30000001,300000.01,300.00001
"133",1996,4,29,16.7086658477783,57.4278335571289,"Amphipoda",16,2,3795,4,27,"Monoporeia affinis","3795_1996",-0.472719880617948,"1996",0.05,10,0.05,50000,50
"134",1996,4,29,16.7086658477783,57.4278335571289,"Amphipoda",16,1,3796,4,27,"Corophium volutator","3796_1996",-0.472719880617948,"1996",0.57999999,120,0.57999999,579999.99,579.99999
"135",1995,4,26,16.7086658477783,57.4278335571289,"Amphipoda",16,5,3797,4,27,"Corophium volutator","3797_1995",-0.472719880617948,"1995",0.38000002,60,0.38000002,380000.02,380.00002
"136",1995,4,26,16.7086658477783,57.4278335571289,"Amphipoda",16,4,3798,4,27,"Corophium volutator","3798_1995",-0.472719880617948,"1995",0.33999999,50,0.33999999,339999.99,339.99999
"137",1995,4,26,16.7086658477783,57.4278335571289,"Amphipoda",16,3,3799,4,27,"Corophium volutator","3799_1995",-0.472719880617948,"1995",0.25000001,50,0.25000001,250000.01,250.00001
"138",1995,4,26,16.7086658477783,57.4278335571289,"Amphipoda",16,2,3800,4,27,"Gammarus","3800_1995",-0.472719880617948,"1995",0.30999999,50,0.30999999,309999.99,309.99999
"139",1995,4,26,16.7086658477783,57.4278335571289,"Amphipoda",16,1,3801,4,27,"Corophium volutator","3801_1995",-0.472719880617948,"1995",0.62999999,60,0.62999999,629999.99,629.99999
"140",1994,4,25,16.7086658477783,57.4278335571289,"Amphipoda",16,1,3802,4,27,"Corophium volutator","3802_1994",-0.472719880617948,"1994",2.17000008,210,2.17000008,2170000.08,2170.00008
"141",1994,4,25,16.7086658477783,57.4278335571289,"Amphipoda",16,4,3803,4,27,"Monoporeia affinis","3803_1994",-0.472719880617948,"1994",0.09,10,0.09,90000,90
"142",1996,4,29,16.7086658477783,57.4278335571289,"Amphipoda",16,5,3804,4,27,"Corophium volutator","3804_1996",-0.472719880617948,"1996",0.63,120,0.63,630000,630
"143",1994,4,25,16.7086658477783,57.4278335571289,"Amphipoda",16,2,3805,4,27,"Gammarus","3805_1994",-0.472719880617948,"1994",0.02,10,0.02,20000,20
"144",1993,4,27,16.7086658477783,57.4278335571289,"Amphipoda",16,5,3806,4,27,"Corophium volutator","3806_1993",-0.472719880617948,"1993",0.64000002,90,0.64000002,640000.02,640.00002
"145",1993,4,27,16.7086658477783,57.4278335571289,"Amphipoda",16,2,3808,4,27,"Gammarus","3808_1993",-0.472719880617948,"1993",0.02,10,0.02,20000,20
"146",1993,4,27,16.7086658477783,57.4278335571289,"Amphipoda",16,1,3809,4,27,"Corophium volutator","3809_1993",-0.472719880617948,"1993",0.75999998,60,0.75999998,759999.98,759.99998
"147",1977,4,28,16.7086658477783,57.4278335571289,"Amphipoda",16,3,3810,4,27,"Monoporeia affinis","3810_1977",-0.472719880617948,"1977",0.05,20,0.05,50000,50
"148",1991,4,23,16.7086658477783,57.4278335571289,"Amphipoda",16,4,3811,4,27,"Corophium volutator","3811_1991",-0.472719880617948,"1991",0.97999998,140,0.97999998,979999.98,979.99998
