"","year","month","day","lon","lat","abundance","biomass","species_group","depth","prov_nr","provID","sub_area","SubDiv","taxa","sample_id","depth_scaled","year_f","biomass_g_m2","biomass_g_km2","biomass_kg_km2"
"33",2003,5,26,16.6849994659424,57.4099998474121,10,0.44,"Mytiloida",14,4,3695,4,27,"Mytilus edulis","3695_2003",-0.5849407155949,"2003",0.44,440000,440
"34",1997,5,5,16.6849994659424,57.4099998474121,10,0.03,"Mytiloida",14,1,3699,4,27,"Mytilus edulis","3699_1997",-0.5849407155949,"1997",0.03,30000,30
"35",1996,4,29,16.6849994659424,57.4099998474121,520,20.46999931,"Mytiloida",14,5,3700,4,27,"Mytilus edulis","3700_1996",-0.5849407155949,"1996",20.46999931,20469999.31,20469.99931
"36",1996,4,29,16.6849994659424,57.4099998474121,50,5.91000021,"Mytiloida",14,3,3702,4,27,"Mytilus edulis","3702_1996",-0.5849407155949,"1996",5.91000021,5910000.21,5910.00021
"37",1996,4,29,16.6849994659424,57.4099998474121,200,20.02000093,"Mytiloida",14,2,3703,4,27,"Mytilus edulis","3703_1996",-0.5849407155949,"1996",20.02000093,20020000.93,20020.00093
"38",1987,4,28,16.6849994659424,57.4099998474121,10,1.63000003,"Mytiloida",14,1,3706,4,27,"Mytilus edulis","3706_1987",-0.5849407155949,"1987",1.63000003,1630000.03,1630.00003
"39",1989,5,2,16.6849994659424,57.4099998474121,20,0.06,"Mytiloida",14,3,3707,4,27,"Mytilus edulis","3707_1989",-0.5849407155949,"1989",0.06,60000,60
"40",2006,5,22,16.6849994659424,57.4099998474121,10,0.06,"Mytiloida",14,5,3708,4,27,"Mytilus edulis","3708_2006",-0.5849407155949,"2006",0.06,60000,60
"41",2006,5,22,16.6849994659424,57.4099998474121,10,0.01,"Mytiloida",14,3,3710,4,27,"Mytilus edulis","3710_2006",-0.5849407155949,"2006",0.01,10000,10
"42",2005,5,24,16.6849994659424,57.4099998474121,20,0.45000002,"Mytiloida",14,2,3716,4,27,"Mytilus edulis","3716_2005",-0.5849407155949,"2005",0.45000002,450000.02,450.00002
"43",2004,5,24,16.6849994659424,57.4099998474121,20,13.50000024,"Mytiloida",14,5,3718,4,27,"Mytilus edulis","3718_2004",-0.5849407155949,"2004",13.50000024,13500000.24,13500.00024
"44",2006,5,22,16.6849994659424,57.4099998474121,10,0.28000001,"Mytiloida",14,1,3721,4,27,"Mytilus edulis","3721_2006",-0.5849407155949,"2006",0.28000001,280000.01,280.00001
"45",1992,4,22,16.6849994659424,57.4099998474121,20,0.41000001,"Mytiloida",14,2,3723,4,27,"Mytilus edulis","3723_1992",-0.5849407155949,"1992",0.41000001,410000.01,410.00001
"46",1992,4,22,16.6849994659424,57.4099998474121,20,0.16000001,"Mytiloida",14,3,3729,4,27,"Mytilus edulis","3729_1992",-0.5849407155949,"1992",0.16000001,160000.01,160.00001
"47",2004,5,24,16.6849994659424,57.4099998474121,20,0.05,"Mytiloida",14,2,3736,4,27,"Mytilus edulis","3736_2004",-0.5849407155949,"2004",0.05,50000,50
"48",1995,4,25,16.6849994659424,57.4099998474121,10,0.03,"Mytiloida",14,2,3742,4,27,"Mytilus edulis","3742_1995",-0.5849407155949,"1995",0.03,30000,30
"49",1994,4,25,16.6849994659424,57.4099998474121,40,0.71000002,"Mytiloida",14,5,3744,4,27,"Mytilus edulis","3744_1994",-0.5849407155949,"1994",0.71000002,710000.02,710.00002
"50",1994,4,25,16.6849994659424,57.4099998474121,20,1.15000002,"Mytiloida",14,4,3745,4,27,"Mytilus edulis","3745_1994",-0.5849407155949,"1994",1.15000002,1150000.02,1150.00002
"51",1994,4,25,16.6849994659424,57.4099998474121,20,0.07,"Mytiloida",14,1,3748,4,27,"Mytilus edulis","3748_1994",-0.5849407155949,"1994",0.07,70000,70
"52",1993,4,27,16.6849994659424,57.4099998474121,20,20.78000069,"Mytiloida",14,4,3750,4,27,"Mytilus edulis","3750_1993",-0.5849407155949,"1993",20.78000069,20780000.69,20780.00069
"53",1993,4,27,16.6849994659424,57.4099998474121,20,0.12,"Mytiloida",14,2,3752,4,27,"Mytilus edulis","3752_1993",-0.5849407155949,"1993",0.12,120000,120
"54",1993,4,27,16.6849994659424,57.4099998474121,30,0.57,"Mytiloida",14,1,3753,4,27,"Mytilus edulis","3753_1993",-0.5849407155949,"1993",0.57,570000,570
"55",1992,4,22,16.6849994659424,57.4099998474121,10,0.93000002,"Mytiloida",14,5,3754,4,27,"Mytilus edulis","3754_1992",-0.5849407155949,"1992",0.93000002,930000.02,930.00002
"56",2002,6,2,16.7086658477783,57.4278335571289,290,25.23999929,"Mytiloida",16,2,3755,4,27,"Mytilus edulis","3755_2002",-0.472719880617948,"2002",25.23999929,25239999.29,25239.99929
"57",2004,5,24,16.7086658477783,57.4278335571289,570,30.92000008,"Mytiloida",16,4,3756,4,27,"Mytilus edulis","3756_2004",-0.472719880617948,"2004",30.92000008,30920000.08,30920.00008
"58",2004,5,24,16.7086658477783,57.4278335571289,380,33.80000114,"Mytiloida",16,3,3757,4,27,"Mytilus edulis","3757_2004",-0.472719880617948,"2004",33.80000114,33800001.14,33800.00114
"59",2004,5,24,16.7086658477783,57.4278335571289,690,21.71999931,"Mytiloida",16,2,3758,4,27,"Mytilus edulis","3758_2004",-0.472719880617948,"2004",21.71999931,21719999.31,21719.99931
"60",2003,5,26,16.7086658477783,57.4278335571289,570,29.70000029,"Mytiloida",16,5,3760,4,27,"Mytilus edulis","3760_2003",-0.472719880617948,"2003",29.70000029,29700000.29,29700.00029
"61",2003,5,26,16.7086658477783,57.4278335571289,240,26.30000114,"Mytiloida",16,4,3761,4,27,"Mytilus edulis","3761_2003",-0.472719880617948,"2003",26.30000114,26300001.14,26300.00114
"62",2003,5,26,16.7086658477783,57.4278335571289,130,3.97000015,"Mytiloida",16,3,3762,4,27,"Mytilus edulis","3762_2003",-0.472719880617948,"2003",3.97000015,3970000.15,3970.00015
"63",2003,5,26,16.7086658477783,57.4278335571289,460,17.84999967,"Mytiloida",16,2,3763,4,27,"Mytilus edulis","3763_2003",-0.472719880617948,"2003",17.84999967,17849999.67,17849.99967
"64",2003,5,26,16.7086658477783,57.4278335571289,30,2.6699999,"Mytiloida",16,1,3764,4,27,"Mytilus edulis","3764_2003",-0.472719880617948,"2003",2.6699999,2669999.9,2669.9999
"65",2002,6,2,16.7086658477783,57.4278335571289,170,19.98000026,"Mytiloida",16,4,3765,4,27,"Mytilus edulis","3765_2002",-0.472719880617948,"2002",19.98000026,19980000.26,19980.00026
"66",2001,6,6,16.7086658477783,57.4278335571289,120,10.06000042,"Mytiloida",16,5,3766,4,27,"Mytilus edulis","3766_2001",-0.472719880617948,"2001",10.06000042,10060000.42,10060.00042
"67",2001,6,6,16.7086658477783,57.4278335571289,430,25.42000055,"Mytiloida",16,1,3767,4,27,"Mytilus edulis","3767_2001",-0.472719880617948,"2001",25.42000055,25420000.55,25420.00055
"68",2004,5,24,16.7086658477783,57.4278335571289,420,21.77999973,"Mytiloida",16,5,3768,4,27,"Mytilus edulis","3768_2004",-0.472719880617948,"2004",21.77999973,21779999.73,21779.99973
"69",2002,6,2,16.7086658477783,57.4278335571289,980,68.42000008,"Mytiloida",16,1,3769,4,27,"Mytilus edulis","3769_2002",-0.472719880617948,"2002",68.42000008,68420000.08,68420.00008
"70",2001,6,6,16.7086658477783,57.4278335571289,530,50.78999996,"Mytiloida",16,4,3770,4,27,"Mytilus edulis","3770_2001",-0.472719880617948,"2001",50.78999996,50789999.96,50789.99996
"71",2001,6,6,16.7086658477783,57.4278335571289,330,31.12999916,"Mytiloida",16,2,3771,4,27,"Mytilus edulis","3771_2001",-0.472719880617948,"2001",31.12999916,31129999.16,31129.99916
"72",2001,6,6,16.7086658477783,57.4278335571289,430,34.07999992,"Mytiloida",16,3,3772,4,27,"Mytilus edulis","3772_2001",-0.472719880617948,"2001",34.07999992,34079999.92,34079.99992
"73",2002,6,2,16.7086658477783,57.4278335571289,210,11.74999952,"Mytiloida",16,3,3773,4,27,"Mytilus edulis","3773_2002",-0.472719880617948,"2002",11.74999952,11749999.52,11749.99952
"74",2006,5,22,16.7086658477783,57.4278335571289,500,16.10999942,"Mytiloida",16,4,3774,4,27,"Mytilus edulis","3774_2006",-0.472719880617948,"2006",16.10999942,16109999.42,16109.99942
"75",1993,4,27,16.7086658477783,57.4278335571289,120,3.40000004,"Mytiloida",16,4,3775,4,27,"Mytilus edulis","3775_1993",-0.472719880617948,"1993",3.40000004,3400000.04,3400.00004
"76",2000,5,16,16.7086658477783,57.4278335571289,1130,26.74000025,"Mytiloida",16,5,3776,4,27,"Mytilus edulis","3776_2000",-0.472719880617948,"2000",26.74000025,26740000.25,26740.00025
"77",1976,5,6,16.7086658477783,57.4278335571289,10,0.05,"Mytiloida",16,4,3780,4,27,"Mytilus edulis","3780_1976",-0.472719880617948,"1976",0.05,50000,50
"78",1976,5,6,16.7086658477783,57.4278335571289,10,0.05,"Mytiloida",16,2,3781,4,27,"Mytilus edulis","3781_1976",-0.472719880617948,"1976",0.05,50000,50
"79",2006,5,22,16.7086658477783,57.4278335571289,2050,53.23999882,"Mytiloida",16,5,3783,4,27,"Mytilus edulis","3783_2006",-0.472719880617948,"2006",53.23999882,53239998.82,53239.99882
"80",2005,5,24,16.7086658477783,57.4278335571289,160,5.63000023,"Mytiloida",16,1,3784,4,27,"Mytilus edulis","3784_2005",-0.472719880617948,"2005",5.63000023,5630000.23,5630.00023
"81",2006,5,22,16.7086658477783,57.4278335571289,550,34.70999956,"Mytiloida",16,3,3785,4,27,"Mytilus edulis","3785_2006",-0.472719880617948,"2006",34.70999956,34709999.56,34709.99956
"82",2006,5,22,16.7086658477783,57.4278335571289,740,27.82000065,"Mytiloida",16,2,3786,4,27,"Mytilus edulis","3786_2006",-0.472719880617948,"2006",27.82000065,27820000.65,27820.00065
"83",1998,5,11,16.7086658477783,57.4278335571289,260,22.5999999,"Mytiloida",16,4,3787,4,27,"Mytilus edulis","3787_1998",-0.472719880617948,"1998",22.5999999,22599999.9,22599.9999
"84",2006,5,22,16.7086658477783,57.4278335571289,930,14.06000018,"Mytiloida",16,1,3788,4,27,"Mytilus edulis","3788_2006",-0.472719880617948,"2006",14.06000018,14060000.18,14060.00018
"85",2005,5,24,16.7086658477783,57.4278335571289,600,26.12999916,"Mytiloida",16,5,3789,4,27,"Mytilus edulis","3789_2005",-0.472719880617948,"2005",26.12999916,26129999.16,26129.99916
"86",2005,5,24,16.7086658477783,57.4278335571289,450,14.93999958,"Mytiloida",16,4,3790,4,27,"Mytilus edulis","3790_2005",-0.472719880617948,"2005",14.93999958,14939999.58,14939.99958
"87",2005,5,24,16.7086658477783,57.4278335571289,640,40.83000183,"Mytiloida",16,3,3791,4,27,"Mytilus edulis","3791_2005",-0.472719880617948,"2005",40.83000183,40830001.83,40830.00183
"88",2005,5,24,16.7086658477783,57.4278335571289,420,45.3000021,"Mytiloida",16,2,3792,4,27,"Mytilus edulis","3792_2005",-0.472719880617948,"2005",45.3000021,45300002.1,45300.0021
"89",1994,4,25,16.7086658477783,57.4278335571289,2080,55.43000221,"Mytiloida",16,3,3794,4,27,"Mytilus edulis","3794_1994",-0.472719880617948,"1994",55.43000221,55430002.21,55430.00221
"90",1996,4,29,16.7086658477783,57.4278335571289,70,4.86999989,"Mytiloida",16,2,3795,4,27,"Mytilus edulis","3795_1996",-0.472719880617948,"1996",4.86999989,4869999.89,4869.99989
"91",1996,4,29,16.7086658477783,57.4278335571289,2610,76.40999794,"Mytiloida",16,1,3796,4,27,"Mytilus edulis","3796_1996",-0.472719880617948,"1996",76.40999794,76409997.94,76409.99794
"92",1995,4,26,16.7086658477783,57.4278335571289,3790,154.4900036,"Mytiloida",16,5,3797,4,27,"Mytilus edulis","3797_1995",-0.472719880617948,"1995",154.4900036,154490003.6,154490.0036
"93",1995,4,26,16.7086658477783,57.4278335571289,1940,40.20999908,"Mytiloida",16,4,3798,4,27,"Mytilus edulis","3798_1995",-0.472719880617948,"1995",40.20999908,40209999.08,40209.99908
"94",1995,4,26,16.7086658477783,57.4278335571289,3630,100.2900028,"Mytiloida",16,3,3799,4,27,"Mytilus edulis","3799_1995",-0.472719880617948,"1995",100.2900028,100290002.8,100290.0028
"95",1995,4,26,16.7086658477783,57.4278335571289,1520,24.53000069,"Mytiloida",16,2,3800,4,27,"Mytilus edulis","3800_1995",-0.472719880617948,"1995",24.53000069,24530000.69,24530.00069
"96",1995,4,26,16.7086658477783,57.4278335571289,1790,59.97000217,"Mytiloida",16,1,3801,4,27,"Mytilus edulis","3801_1995",-0.472719880617948,"1995",59.97000217,59970002.17,59970.00217
"97",1994,4,25,16.7086658477783,57.4278335571289,5180,162.1699905,"Mytiloida",16,1,3802,4,27,"Mytilus edulis","3802_1994",-0.472719880617948,"1994",162.1699905,162169990.5,162169.9905
"98",1994,4,25,16.7086658477783,57.4278335571289,1650,44.98000145,"Mytiloida",16,4,3803,4,27,"Mytilus edulis","3803_1994",-0.472719880617948,"1994",44.98000145,44980001.45,44980.00145
"99",1996,4,29,16.7086658477783,57.4278335571289,3490,77.18999863,"Mytiloida",16,5,3804,4,27,"Mytilus edulis","3804_1996",-0.472719880617948,"1996",77.18999863,77189998.63,77189.99863
"100",1994,4,25,16.7086658477783,57.4278335571289,1360,34.37999964,"Mytiloida",16,2,3805,4,27,"Mytilus edulis","3805_1994",-0.472719880617948,"1994",34.37999964,34379999.64,34379.99964
"101",1993,4,27,16.7086658477783,57.4278335571289,320,19.37999964,"Mytiloida",16,5,3806,4,27,"Mytilus edulis","3806_1993",-0.472719880617948,"1993",19.37999964,19379999.64,19379.99964
"102",1993,4,27,16.7086658477783,57.4278335571289,10,0.02,"Mytiloida",16,3,3807,4,27,"Mytilus edulis","3807_1993",-0.472719880617948,"1993",0.02,20000,20
"103",1993,4,27,16.7086658477783,57.4278335571289,90,20.36000013,"Mytiloida",16,2,3808,4,27,"Mytilus edulis","3808_1993",-0.472719880617948,"1993",20.36000013,20360000.13,20360.00013
"104",1993,4,27,16.7086658477783,57.4278335571289,2860,135.9200001,"Mytiloida",16,1,3809,4,27,"Mytilus edulis","3809_1993",-0.472719880617948,"1993",135.9200001,135920000.1,135920.0001
"105",1991,4,23,16.7086658477783,57.4278335571289,210,34.21999931,"Mytiloida",16,4,3811,4,27,"Mytilus edulis","3811_1991",-0.472719880617948,"1991",34.21999931,34219999.31,34219.99931
"106",1994,4,25,16.7086658477783,57.4278335571289,5980,190.5699921,"Mytiloida",16,5,3812,4,27,"Mytilus edulis","3812_1994",-0.472719880617948,"1994",190.5699921,190569992.1,190569.9921
"107",1998,5,11,16.7086658477783,57.4278335571289,850,30.55000067,"Mytiloida",16,3,3813,4,27,"Mytilus edulis","3813_1998",-0.472719880617948,"1998",30.55000067,30550000.67,30550.00067
"108",2000,5,16,16.7086658477783,57.4278335571289,2250,113.9099979,"Mytiloida",16,3,3814,4,27,"Mytilus edulis","3814_2000",-0.472719880617948,"2000",113.9099979,113909997.9,113909.9979
"109",2000,5,16,16.7086658477783,57.4278335571289,190,12.82999992,"Mytiloida",16,1,3816,4,27,"Mytilus edulis","3816_2000",-0.472719880617948,"2000",12.82999992,12829999.92,12829.99992
"110",1999,5,12,16.7086658477783,57.4278335571289,450,17.48000026,"Mytiloida",16,5,3817,4,27,"Mytilus edulis","3817_1999",-0.472719880617948,"1999",17.48000026,17480000.26,17480.00026
"111",1999,5,12,16.7086658477783,57.4278335571289,420,37.01999903,"Mytiloida",16,4,3818,4,27,"Mytilus edulis","3818_1999",-0.472719880617948,"1999",37.01999903,37019999.03,37019.99903
"112",1999,5,12,16.7086658477783,57.4278335571289,50,4.56999987,"Mytiloida",16,3,3819,4,27,"Mytilus edulis","3819_1999",-0.472719880617948,"1999",4.56999987,4569999.87,4569.99987
"113",1999,5,12,16.7086658477783,57.4278335571289,30,11.8900001,"Mytiloida",16,2,3820,4,27,"Mytilus edulis","3820_1999",-0.472719880617948,"1999",11.8900001,11890000.1,11890.0001
"114",1996,4,29,16.7086658477783,57.4278335571289,1140,25.35000086,"Mytiloida",16,3,3821,4,27,"Mytilus edulis","3821_1996",-0.472719880617948,"1996",25.35000086,25350000.86,25350.00086
"115",1998,5,11,16.7086658477783,57.4278335571289,1850,48.55000019,"Mytiloida",16,5,3822,4,27,"Mytilus edulis","3822_1998",-0.472719880617948,"1998",48.55000019,48550000.19,48550.00019
"116",1996,4,29,16.7086658477783,57.4278335571289,360,21.38999939,"Mytiloida",16,4,3823,4,27,"Mytilus edulis","3823_1996",-0.472719880617948,"1996",21.38999939,21389999.39,21389.99939
"117",1998,5,11,16.7086658477783,57.4278335571289,30,1.25,"Mytiloida",16,2,3824,4,27,"Mytilus edulis","3824_1998",-0.472719880617948,"1998",1.25,1250000,1250
"118",1998,5,11,16.7086658477783,57.4278335571289,940,33.49999905,"Mytiloida",16,1,3825,4,27,"Mytilus edulis","3825_1998",-0.472719880617948,"1998",33.49999905,33499999.05,33499.99905
"119",1997,5,5,16.7086658477783,57.4278335571289,680,31.45999908,"Mytiloida",16,5,3826,4,27,"Mytilus edulis","3826_1997",-0.472719880617948,"1997",31.45999908,31459999.08,31459.99908
"120",1997,5,5,16.7086658477783,57.4278335571289,490,23.94000053,"Mytiloida",16,4,3827,4,27,"Mytilus edulis","3827_1997",-0.472719880617948,"1997",23.94000053,23940000.53,23940.00053
"121",1997,5,5,16.7086658477783,57.4278335571289,1050,34.46000099,"Mytiloida",16,2,3829,4,27,"Mytilus edulis","3829_1997",-0.472719880617948,"1997",34.46000099,34460000.99,34460.00099
"122",1997,5,5,16.7086658477783,57.4278335571289,710,35.00999928,"Mytiloida",16,1,3830,4,27,"Mytilus edulis","3830_1997",-0.472719880617948,"1997",35.00999928,35009999.28,35009.99928
"123",2000,5,16,16.7086658477783,57.4278335571289,540,11.23999953,"Mytiloida",16,4,3831,4,27,"Mytilus edulis","3831_2000",-0.472719880617948,"2000",11.23999953,11239999.53,11239.99953
"124",1999,5,12,16.7086658477783,57.4278335571289,80,27.07999945,"Mytiloida",16,1,3832,4,27,"Mytilus edulis","3832_1999",-0.472719880617948,"1999",27.07999945,27079999.45,27079.99945
"125",1987,4,28,16.7086658477783,57.4278335571289,240,17.18000054,"Mytiloida",16,2,3833,4,27,"Mytilus edulis","3833_1987",-0.472719880617948,"1987",17.18000054,17180000.54,17180.00054
"126",1988,4,20,16.7086658477783,57.4278335571289,530,56.27999783,"Mytiloida",16,5,3834,4,27,"Mytilus edulis","3834_1988",-0.472719880617948,"1988",56.27999783,56279997.83,56279.99783
"127",1988,4,20,16.7086658477783,57.4278335571289,90,4.53999996,"Mytiloida",16,4,3835,4,27,"Mytilus edulis","3835_1988",-0.472719880617948,"1988",4.53999996,4539999.96,4539.99996
"128",1988,4,20,16.7086658477783,57.4278335571289,220,46.9299984,"Mytiloida",16,3,3836,4,27,"Mytilus edulis","3836_1988",-0.472719880617948,"1988",46.9299984,46929998.4,46929.9984
"129",1988,4,20,16.7086658477783,57.4278335571289,450,36.0800004,"Mytiloida",16,2,3837,4,27,"Mytilus edulis","3837_1988",-0.472719880617948,"1988",36.0800004,36080000.4,36080.0004
"130",1988,4,20,16.7086658477783,57.4278335571289,30,3.75999987,"Mytiloida",16,1,3838,4,27,"Mytilus edulis","3838_1988",-0.472719880617948,"1988",3.75999987,3759999.87,3759.99987
"131",1987,4,28,16.7086658477783,57.4278335571289,70,5.04000008,"Mytiloida",16,5,3839,4,27,"Mytilus edulis","3839_1987",-0.472719880617948,"1987",5.04000008,5040000.08,5040.00008
"132",1985,5,23,16.7086658477783,57.4278335571289,430,14.40999985,"Mytiloida",16,5,3840,4,27,"Mytilus edulis","3840_1985",-0.472719880617948,"1985",14.40999985,14409999.85,14409.99985
"133",1987,4,28,16.7086658477783,57.4278335571289,1630,116.0999966,"Mytiloida",16,3,3841,4,27,"Mytilus edulis","3841_1987",-0.472719880617948,"1987",116.0999966,116099996.6,116099.9966
"134",1989,5,2,16.7086658477783,57.4278335571289,40,10.36999941,"Mytiloida",16,3,3842,4,27,"Mytilus edulis","3842_1989",-0.472719880617948,"1989",10.36999941,10369999.41,10369.99941
"135",1987,4,28,16.7086658477783,57.4278335571289,1230,93.78000259,"Mytiloida",16,1,3843,4,27,"Mytilus edulis","3843_1987",-0.472719880617948,"1987",93.78000259,93780002.59,93780.00259
"136",1986,5,20,16.7086658477783,57.4278335571289,40,2.09999993,"Mytiloida",16,5,3844,4,27,"Mytilus edulis","3844_1986",-0.472719880617948,"1986",2.09999993,2099999.93,2099.99993
"137",1986,5,20,16.7086658477783,57.4278335571289,360,22.49000072,"Mytiloida",16,4,3845,4,27,"Mytilus edulis","3845_1986",-0.472719880617948,"1986",22.49000072,22490000.72,22490.00072
"138",1986,5,20,16.7086658477783,57.4278335571289,270,11.54000044,"Mytiloida",16,3,3846,4,27,"Mytilus edulis","3846_1986",-0.472719880617948,"1986",11.54000044,11540000.44,11540.00044
"139",1986,5,20,16.7086658477783,57.4278335571289,120,7.49000013,"Mytiloida",16,2,3847,4,27,"Mytilus edulis","3847_1986",-0.472719880617948,"1986",7.49000013,7490000.13,7490.00013
"140",1986,5,20,16.7086658477783,57.4278335571289,260,19.78000045,"Mytiloida",16,1,3848,4,27,"Mytilus edulis","3848_1986",-0.472719880617948,"1986",19.78000045,19780000.45,19780.00045
"141",1987,4,28,16.7086658477783,57.4278335571289,90,3.1400001,"Mytiloida",16,4,3849,4,27,"Mytilus edulis","3849_1987",-0.472719880617948,"1987",3.1400001,3140000.1,3140.0001
